trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.03, 'e': 0.13002871087842593}",30,19,18.486489847721273,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.03, 'e': 0.12618578170503877}",20,0,20.783788802893895,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.03, 'e': 0.12245642825298192}",20,0,-39.24099887503513,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.03, 'e': 0.11883729385240967}",20,8,21.387667476989503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.03, 'e': 0.11532512103806253}",20,0,25.850853726430213,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.03, 'e': 0.11191674861732889}",25,16,6.134431805023928,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.03, 'e': 0.10860910882495803}",25,11,-29.895726597404625,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.03, 'e': 0.10539922456186435}",20,0,-34.69740071611968,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",1
76,False,"{'a': 0.03, 'e': 0.10228420671553749}",20,0,24.076964428810783,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.03, 'e': 0.09926125155964566}",20,0,26.019935820502123,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.03, 'e': 0.09632763823049305}",20,3,12.592807072745963,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.03, 'e': 0.09348072627805848}",20,11,-28.323190331296598,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
80,False,"{'a': 0.03, 'e': 0.09071795328941253}",20,0,18.123491803836437,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.03, 'e': 0.08803683258237259}",25,4,33.04835478074865,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.03, 'e': 0.08543495096732125}",25,15,21.009114304248435,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.03, 'e': 0.08290996657517272}",20,0,-9.689982740500733,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.03, 'e': 0.08045960674953244}",25,0,42.348645299774184,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.03, 'e': 0.07808166600115318}",25,0,-30.854112814875275,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.03, 'e': 0.07577400402284548}",25,0,-8.012440825584775,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
87,False,"{'a': 0.03, 'e': 0.07353454376305711}",30,9,36.36855628314272,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.03, 'e': 0.0713612695563861}",20,16,5.283793602233983,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.03, 'e': 0.069252225309346}",25,18,11.732431332364756,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.03, 'e': 0.0672055127397498}",20,0,26.971044093858033,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.03, 'e': 0.06521928966812754}",35,13,36.481578285162875,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.03, 'e': 0.06329176835964075}",25,1,6.611388914602473,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.03, 'e': 0.061421213915000133}",25,0,29.29633559158774,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.03, 'e': 0.059605942708939375}",20,15,5.509455840618671,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.03, 'e': 0.05784432087483846}",30,13,7.552375112976938,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
